,State,Vehicle Revenue Miles,Carbon Emissions (Metric Tons),Population,Carbon Emissions per Capita (Metric Tons),Vehicle Revenue Miles per Capita
0,AK,9265669,34514589,737438,46.80337736867371,12.564675267615717
1,AL,17633916,112355471,4887871,22.986586798219513,3.60768850078081
2,AR,18196673,70786146,3013825,23.487145404925634,6.037733776845039
3,AZ,76311667,94095509,7171646,13.120489912636513,10.640746489717982
4,CA,690837942,358594718,39557045,9.065255455760155,17.464346540546696
5,CO,95281540,90061689,5695564,15.812602404257067,16.72907898146698
6,CT,35552797,37384241,3572665,10.463964855367072,9.951338006782052
7,DC,142826631,2856068,702455,4.065837669316895,203.32495462342783
8,DE,16253314,13989310,967171,14.464153701878985,16.805005526427074
9,FL,226671427,242009113,21299325,11.3622902603721,10.64218828530951
10,GA,98289578,141920924,10519475,13.49125540960932,9.343582070398
11,HI,33812718,20301213,1420491,14.291687170140465,23.80354257788328
12,IA,29537256,82427563,3156145,26.116532351967354,9.358649871916532
13,ID,8453096,19042761,1754208,10.855474949378864,4.8187535343585255
14,IL,283782349,213100132,12741080,16.72543709010539,22.27302151779912
15,IN,43293252,189216168,6691878,28.275495757693133,6.469522008620002
16,KS,16170349,62852776,2911505,21.587727309415577,5.553948559250284
17,KY,54681220,122771335,4468402,27.47544536055619,12.237309892887883
18,LA,26133501,194743220,4659978,41.79058785256068,5.608073900778073
19,MA,133238213,64107395,6902149,9.288034060116638,19.303873764533336
20,MD,95821243,61685315,6042718,10.20820680362711,15.857308416510584
21,ME,18743171,14763073,1338404,11.03035630497219,14.004120579436403
22,MI,108122144,163717444,9995915,16.378434990693698,10.816632994578285
23,MN,88585995,94756050,5611179,16.887012515551543,15.787412057252139
24,MO,64936433,124780532,6126452,20.367503409803913,10.599353916426669
25,MS,15409229,63232526,2986530,21.172573521779455,5.159576163641416
26,MT,7599065,31257967,1062305,29.424663349979525,7.153374030998631
27,NC,98083827,124212734,10383620,11.962372852627503,9.446014684666812
28,ND,6626989,59282972,760077,77.99600829915916,8.71883901236322
29,NE,11073001,52355010,1929268,27.137240652931578,5.739483057822967
30,NH,7161564,14239732,1356458,10.497731592131862,5.279606150724903
31,NJ,228527992,105068884,8908520,11.794201954982421,25.652745012639585
32,NM,16772694,45853909,2095428,21.8828368237897,8.00442391721405
33,NV,39188348,41383070,3034392,13.63801051413265,12.914728222325921
34,NY,759554156,175096965,19542209,8.959937180080308,38.86736427800972
35,OH,102770740,208966675,11689442,17.87653123220082,8.791757553525652
36,OK,28887537,98010364,3943079,24.85630239718758,7.326137011203681
37,OR,67702047,39580131,4190713,9.4447247998133,16.15525735119537
38,PA,188731731,220193891,12807060,17.193164629509038,14.73653836243447
39,RI,11812067,11056924,1057315,10.457549547675008,11.171757707022032
40,SC,20147806,74146749,5084127,14.58396869315027,3.9628840900315825
41,SD,7299763,15523995,882235,17.596213027141296,8.274170714152126
42,TN,56599298,93835982,6770010,13.860538167595026,8.3602975475664
43,TX,278165845,684689594,28701845,23.855246727170325,9.691566691967015
44,UT,42981174,61248716,3161105,19.375729689459856,13.596882735625675
45,VA,80189807,110055488,8517685,12.920821561257549,9.414507228196394
46,VT,18500720,5854280,626299,9.347420321603579,29.539756569945027
47,WA,175278128,78658554,7535591,10.43827272472723,23.260037334828816
48,WI,52615754,101172770,5813568,17.402870319913692,9.05050977299999
49,WV,12458789,89144796,1805832,49.364944247305395,6.899196049244891
50,WY,3760507,63846081,577737,110.51063200037387,6.5090291949451045
